,동,workppl,dem,bikelength,sum_road_dem,sum_ppl_dem,sum_ppl_road,sum_3,index,지하철역개수,버스정거장개수,접근성,교통편,총거치대수,교통지수,tr_index,sum_index,interg
379,천호1동,1.1695670554431803,0.3491251280480845,-0.13409957326727945,0.21502555478080504,1.5186921834912648,1.035467482175901,1.3845926102239854,379,0.3689036834571611,-0.5538354181312337,0.27129515730903037,-0.4462358374251553,-0.6625392595372557,-1.108775096962411,1,1,1.0
381,천호3동,0.9655450336861208,0.4552153725310377,-0.6517965863090024,-0.19658121377796475,1.4207604062171584,0.3137484473771183,0.768963819908156,381,0.3689036834571611,-1.0151835856904539,-0.5848191066227785,-0.8786315166539707,0.03908237205135504,-0.8395491446026156,1,1,1.0
385,청룡동,1.2275581738090893,-0.10652056029695274,-0.1403792556185861,-0.24689981591553886,1.1210376135121365,1.0871789181905032,0.9806583578935504,385,0.3689036834571611,-0.5538354181312337,-0.609312163359035,-0.4462358374251553,0.0525750957357514,-0.3936607416894039,1,1,1.0
391,풍납1동,0.0045493579082008595,0.7195919576538102,1.3951286729229238,2.114720630576734,0.7241413155620111,1.3996780308311243,2.1192699884849353,391,-0.8824176108295296,-1.344717991089897,-1.38360687172509,-1.4345688185195904,-0.7030174305904447,-2.137586249110035,1,1,1.0
395,하계2동,0.5751931957751597,0.5360756030668384,-0.2142283200699527,0.3218472829968857,1.1112687988419985,0.36096487570520697,0.8970404787720455,395,0.3689036834571611,-0.3561147748915679,1.5580231977906371,-0.26092340346994874,-0.635553812168463,-0.8964772156384118,1,1,1.0
398,합정동,0.11280880647990983,0.7791555727001163,1.3883466159835125,2.1675021886836285,0.8919643791800259,1.5011554224634225,2.2803109951635383,398,-0.8824176108295296,-0.09248725057201343,-0.9025079366375585,-0.26092340346994874,-0.36569933848053576,-0.6266227419504845,1,1,1.0
408,화곡1동,1.89733452878581,0.4838440252228541,-0.6960055500622014,-0.2121615248393473,2.381178554008664,1.2013289787236086,1.6851730039464623,408,-0.8824176108295296,-0.02658036949212482,-0.2832210095567996,-0.19915259215154657,-0.3791920621649321,-0.5783446543164787,1,1,1.0
410,화곡3동,-0.253251352309254,0.5124904187582298,-0.06728375304937634,0.4452066657088534,0.25923906644897576,-0.32053510535863033,0.19195531339959945,410,-0.8824176108295296,-1.146997347850231,-0.680450085497427,-1.2492563845643838,-0.3252211674273467,-1.5744775519917305,1,1,1.0
414,화곡본동,1.3954937127089129,-0.23575246799953914,-0.7449870724023936,-0.9807395404019328,1.1597412447093738,0.6505066403065193,0.4147541723069802,414,-0.8824176108295296,-0.09248725057201343,-0.3325792374188764,-0.26092340346994874,-0.5680901937464812,-0.8290135972164299,1,1,1.0
422,휘경2동,0.12614816784737073,0.5999020893797552,0.20500327370328145,0.8049053630830366,0.7260502572271259,0.3311514415506521,0.9310535309304072,422,-0.8824176108295296,-0.5538354181312337,-0.7164255489788425,-0.6933190826987641,-0.2172793779521758,-0.9105984606509399,1,1,1.0
